page,slug,Image,Advice Text,Life_Area,Action_Type,Difficulty,Topic_Theme,Smart_Category
19,ask-for-help,AdviceDB%20208a0765760b80ff8a55ed3dd1a76fcc/ask-for-help.png,Don't be afraid to ask for help when you need it.,Personal Development,Avoid/Stop,Easy,"Theme: know, need",Things to Avoid
150,ask-sip,AdviceDB%20208a0765760b80ff8a55ed3dd1a76fcc/ask-sip.png,Don't ask for a sip if they are drinking from a straw.,Personal Development,Avoid/Stop,Medium,Mindset & Emotions,Things to Avoid
116,assume-pregnant,AdviceDB%20208a0765760b80ff8a55ed3dd1a76fcc/assume-pregnant.png,Be really sure before congratulating a pregnancy.,Personal Development,Mindset/Attitude,Easy,Learning & Skills,Mindset & Attitude
238,awkward-avoid,AdviceDB%20208a0765760b80ff8a55ed3dd1a76fcc/awkward-avoid.png,Nothing gets less awkward by avoiding it.,Personal Development,Mindset Shift,Easy,"Theme: know, need",General Wisdom
287,backup-tech,AdviceDB%20208a0765760b80ff8a55ed3dd1a76fcc/backup-tech.png,Keep a backup of important files–technology fails when you least expect it.,Personal Development,Maintain/Remember,Medium,Mindset & Emotions,General Wisdom
231,bad-apples,AdviceDB%20208a0765760b80ff8a55ed3dd1a76fcc/bad-apples.png,People are showing you who they are all the time–believe what you are seeing.,Personal Development,Mindset Shift,Medium,Learning & Skills,General Wisdom
55,bad-day-kindness,AdviceDB%20208a0765760b80ff8a55ed3dd1a76fcc/bad-day-kindness.png,"When someone's having a bad day, assume they need kindness rather than judgment.",Personal Development,Conditional Wisdom,Medium,"Theme: know, need",General Wisdom
86,bad-moment,AdviceDB%20208a0765760b80ff8a55ed3dd1a76fcc/bad-moment.png,Don't let a bad moment convince you it's a bad day.,Personal Development,Avoid/Stop,Medium,"Theme: know, need",Things to Avoid
221,bad-to-good,AdviceDB%20208a0765760b80ff8a55ed3dd1a76fcc/bad-to-good.png,Being bad at something is the uncomfortable first step of getting good at it.,Personal Development,Mindset/Attitude,Medium,Financial Wisdom,Mindset & Attitude
186,best-ideas,AdviceDB%20208a0765760b80ff8a55ed3dd1a76fcc/best-ideas.png,The best ideas often come after you think you've run out.,Personal Development,Mindset Shift,Medium,Financial Wisdom,General Wisdom
228,better-questions,AdviceDB%20208a0765760b80ff8a55ed3dd1a76fcc/better_questions.png,"If you want better answers, ask better questions.",Personal Development,Conditional Wisdom,Easy,Mindset & Emotions,General Wisdom
57,better-writing,AdviceDB%20208a0765760b80ff8a55ed3dd1a76fcc/better-writing.png,The best way to get better at writing is to read more.,Learning & Growth,Mindset Shift,Medium,Financial Wisdom,Learning & Growth
254,birthday-goals,AdviceDB%20208a0765760b80ff8a55ed3dd1a76fcc/birthday-goals.png,Review and reset your annual goals every year on your birthday.,Personal Development,Mindset Shift,Medium,"Theme: room, use",General Wisdom
32,black-white-photos,AdviceDB%20208a0765760b80ff8a55ed3dd1a76fcc/black-white-photos.png,Converting photos to black and white is a simple way to make them look more professional and refined.,Work & Career,Mindset Shift,Easy,Learning & Skills,Work & Career
160,book-face-down,AdviceDB%20208a0765760b80ff8a55ed3dd1a76fcc/book-face-down.png,A book left face-down and open is an insult to both the spine and the story.,Learning & Growth,Mindset Shift,Medium,Mindset & Emotions,Learning & Growth
285,book-reading-mind-engaged,AdviceDB%20208a0765760b80ff8a55ed3dd1a76fcc/book-reading-mind-engaged.png,Always have a book you're reading–it keeps your mind engaged.,Learning & Growth,Maintain/Remember,Easy,Financial Wisdom,Learning & Growth
182,boost-creativity,AdviceDB%20208a0765760b80ff8a55ed3dd1a76fcc/boost-creativity.png,Boost your creativity by reducing the time between inspiration and action.,Health & Wellness,Mindset Shift,Medium,Learning & Skills,Health & Wellness
281,borrow-better,AdviceDB%20208a0765760b80ff8a55ed3dd1a76fcc/borrow-better.png,"When you borrow something, return it in better condition than you received it.",Personal Development,Conditional Wisdom,Medium,Learning & Skills,General Wisdom
110,borrow-pen,AdviceDB%20208a0765760b80ff8a55ed3dd1a76fcc/borrow-pen.png,"If you borrow a pen, return it. If you forget, replace it.",Personal Development,Conditional Wisdom,Medium,Learning & Skills,General Wisdom
201,break-sprial,AdviceDB%20208a0765760b80ff8a55ed3dd1a76fcc/break-spiral.png,"The quickest way to break a spiral is physically–move, breathe, reset.",Health & Wellness,Mindset Shift,Easy,"Theme: know, need",Health & Wellness
118,bringing-snacks,AdviceDB%20208a0765760b80ff8a55ed3dd1a76fcc/bringing-snacks.png,Nobody ever regretted bringing snacks to a long event,Social Situations,Mindset Shift,Medium,Learning & Skills,Social Situations
170,budget-money,AdviceDB%20208a0765760b80ff8a55ed3dd1a76fcc/budget-money.png,Budgeting tells your money where to go instead of wondering where it went.,Money & Finance,Mindset Shift,Medium,"Theme: know, need",Money & Finance
77,buy-quality,AdviceDB%20208a0765760b80ff8a55ed3dd1a76fcc/buy-quality.png,Buy quality where it matters.,Personal Development,Acquire/Invest,Easy,Mindset & Emotions,General Wisdom
97,call-text,AdviceDB%20208a0765760b80ff8a55ed3dd1a76fcc/call-text.png,"If you need an immediate response, call. If it can wait, send a text.",Personal Development,Conditional Wisdom,Medium,Learning & Skills,General Wisdom
297,camera-drink,AdviceDB%20208a0765760b80ff8a55ed3dd1a76fcc/camera-drink.png,"If a camera’s out, keep your drink discreet—you’ll thank yourself later.",Personal Development,Conditional Wisdom,Medium,Financial Wisdom,General Wisdom
184,can-control,AdviceDB%20208a0765760b80ff8a55ed3dd1a76fcc/can-control.png,Focus on the things you can control.,Personal Development,Mindset Shift,Easy,Financial Wisdom,General Wisdom
269,cap-toothpaste,AdviceDB%20208a0765760b80ff8a55ed3dd1a76fcc/cap-toothpaste.png,Put the cap back on the toothpaste.,Personal Development,Mindset Shift,Easy,Learning & Skills,General Wisdom
290,car-detailed,AdviceDB%20208a0765760b80ff8a55ed3dd1a76fcc/car-detail.png,Get your car detailed on its birthday.,Personal Development,Acquire/Invest,Easy,Mindset & Emotions,General Wisdom
4,car-not-investment,AdviceDB%20208a0765760b80ff8a55ed3dd1a76fcc/car-not_-nvestement.png,"A car is not an investment, it loses value immediately.",Money & Finance,Avoid/Stop,Medium,Mindset & Emotions,Money & Finance
139,catch-up-sometime,AdviceDB%20208a0765760b80ff8a55ed3dd1a76fcc/catch-up-sometime.png,"If you say “we should catch up sometime,” mean it–or don't say it.",Personal Development,Conditional Wisdom,Medium,Learning & Skills,General Wisdom
274,celebrate-others-wins,AdviceDB%20208a0765760b80ff8a55ed3dd1a76fcc/celebrate-others-wins.png,Celebrate other people's wins like they're your own.,Personal Development,Mindset Shift,Medium,"Theme: know, need",General Wisdom
58,change-tire,AdviceDB%20208a0765760b80ff8a55ed3dd1a76fcc/change-tire.png,"Know how to change a tire, even if you never have to do it.",Personal Development,Mindset Shift,Medium,"Theme: know, need",General Wisdom
178,changing-circumstances,AdviceDB%20208a0765760b80ff8a55ed3dd1a76fcc/changing-circumstances.png,"Adapt to changing circumstances, but stay true to your guiding principles.",Personal Development,Mindset Shift,Medium,Learning & Skills,General Wisdom
209,check-engine,AdviceDB%20208a0765760b80ff8a55ed3dd1a76fcc/check-engine.png,Don't ignore the check engine light.,Personal Development,Avoid/Stop,Easy,Learning & Skills,Things to Avoid
257,childhood-food,AdviceDB%20208a0765760b80ff8a55ed3dd1a76fcc/childhood-food.png,Revisit a childhood food just for the nostalgia.,Relationships & Family,Mindset Shift,Easy,Learning & Skills,Relationships & Family
42,christmas-card-inserts,AdviceDB%20208a0765760b80ff8a55ed3dd1a76fcc/christmas-card-inserts.png,Christmas card inserts work best when they're easy to scan and feature mostly pictures.,Work & Career,Mindset Shift,Easy,Financial Wisdom,Work & Career
8,christmas-cards,AdviceDB%20208a0765760b80ff8a55ed3dd1a76fcc/christmas-cards.png,"Send Christmas cards each year, including a short hand-written note to express that you appreciate them.",Personal Development,Mindset Shift,Requires Effort,"Theme: room, use",General Wisdom
107,clearly-ask,AdviceDB%20208a0765760b80ff8a55ed3dd1a76fcc/clearly-ask.png,Learn how to ask for what you want– clearly and kindly.,Learning & Growth,Learn/Develop,Requires Effort,Learning & Skills,Learning & Growth
76,cocktail,AdviceDB%20208a0765760b80ff8a55ed3dd1a76fcc/cocktail.png,Know how to make one great cocktail for your guests.,Health & Wellness,Mindset Shift,Medium,"Theme: know, need",Health & Wellness
64,comfort-silence,AdviceDB%20208a0765760b80ff8a55ed3dd1a76fcc/comfort-silence.png,Be comfortable with silence–it's a sign of true friendship and self-assurance.,Relationships & Family,Mindset/Attitude,Medium,Learning & Skills,Relationships & Family
140,comments-section,AdviceDB%20208a0765760b80ff8a55ed3dd1a76fcc/comments-section.png,Never argue with a stranger in the comments section.,Social Situations,Avoid/Stop,Medium,Mindset & Emotions,👥 Social Situations
121,committed-misunderstand,AdviceDB%20208a0765760b80ff8a55ed3dd1a76fcc/committed-misunderstand.png,Don't waste energy arguing with people committed to misunderstanding you.,Personal Development,Avoid/Stop,Medium,Learning & Skills,Things to Avoid
122,committed-reliability,AdviceDB%20208a0765760b80ff8a55ed3dd1a76fcc/committed-to-doing.png,Do what you committed to doing–reliability is rarer than talent.,Personal Development,Mindset Shift,Medium,Learning & Skills,General Wisdom
120,compare-self,AdviceDB%20208a0765760b80ff8a55ed3dd1a76fcc/compare-self.png,The only person to compare yourself to is the person you used to be.,Personal Development,Mindset Shift,Medium,Mindset & Emotions,General Wisdom
71,complain-solution,AdviceDB%20208a0765760b80ff8a55ed3dd1a76fcc/complain-solution.png,"Before complaining, consider offering a solution.",Personal Development,Mindset/Attitude,Easy,Learning & Skills,Mindset & Attitude
67,compliment,AdviceDB%20208a0765760b80ff8a55ed3dd1a76fcc/compliment.png,"If you think something kind about someone, say it. Compliments should never be hoarded.",Personal Development,Conditional Wisdom,Medium,Mindset & Emotions,General Wisdom
106,concert-seats,AdviceDB%20208a0765760b80ff8a55ed3dd1a76fcc/concert-seats.png,The best way to get a good seat at a concert? Make friends with the people in front of you.,Relationships & Family,Mindset Shift,Medium,Financial Wisdom,Relationships & Family
169,confidence,AdviceDB%20208a0765760b80ff8a55ed3dd1a76fcc/confidence.png,Confidence is not knowing everything–it's knowing you can handle anything.,Personal Development,Avoid/Stop,Medium,"Theme: know, need",Things to Avoid
166,conflict-peace-war,AdviceDB%20208a0765760b80ff8a55ed3dd1a76fcc/conflict-peace-war.png,"When you avoid conflict to keep the peace, you start a war within yourself.",Personal Development,Conditional Wisdom,Medium,Financial Wisdom,General Wisdom
261,constellations,AdviceDB%20208a0765760b80ff8a55ed3dd1a76fcc/constellations.png,Learn to recognize constellations in the night sky.,Learning & Growth,Learn/Develop,Requires Effort,Learning & Skills,Learning & Growth
242,cook-twice-week,AdviceDB%20208a0765760b80ff8a55ed3dd1a76fcc/cook-twice-week.png,Cooking twice a week saves more money than you think.,Money & Finance,Mindset Shift,Medium,Financial Wisdom,Money & Finance
131,correct-pronunciation,AdviceDB%20208a0765760b80ff8a55ed3dd1a76fcc/correct-pronunciation.png,Never correct someone's pronunciation if you know what they mean.,Personal Development,Avoid/Stop,Medium,"Theme: know, need",Things to Avoid
23,curious-why,AdviceDB%20208a0765760b80ff8a55ed3dd1a76fcc/curious-why.png,Be curious. Ask “why?”,Personal Development,Mindset/Attitude,Easy,Mindset & Emotions,Mindset & Attitude
176,decide-walk,AdviceDB%20208a0765760b80ff8a55ed3dd1a76fcc/decide-walk.png,Having trouble making a choice? Go for a walk. Don't come back until you've decided.,Personal Development,Mindset Shift,Medium,Learning & Skills,General Wisdom
72,deep-breath,AdviceDB%20208a0765760b80ff8a55ed3dd1a76fcc/deep-breath.png,Never underestimate the power of taking a deep breath before you react.,Health & Wellness,Avoid/Stop,Medium,Mindset & Emotions,Health & Wellness
17,digital-footprint,AdviceDB%20208a0765760b80ff8a55ed3dd1a76fcc/digital-footprint.png,"Be cognizant of your digital footprint, tread lightly.",Learning & Growth,Mindset/Attitude,Medium,Learning & Skills,Learning & Growth
148,directions-landmarks,AdviceDB%20208a0765760b80ff8a55ed3dd1a76fcc/directions-landmarks.png,"When giving directions, use landmarks, not just street names.",Personal Development,Avoid/Stop,Easy,"Theme: room, use",Things to Avoid
14,dish-every-continent,AdviceDB%20208a0765760b80ff8a55ed3dd1a76fcc/dish-every-continent.png,Learn to cook at least one dish from each continent.* (* except Antarctica),Health & Wellness,Learn/Develop,Requires Effort,Mindset & Emotions,Health & Wellness
78,dishes,AdviceDB%20208a0765760b80ff8a55ed3dd1a76fcc/dishes.png,"When you're a dinner guest in someone's home, offer to help with the dishes.",Home & Organization,Conditional Wisdom,Medium,"Theme: know, need",Home & Organization
102,do-it-twice,AdviceDB%20208a0765760b80ff8a55ed3dd1a76fcc/do-it-twice.png,"If you don't have time to do it right, you don't have time to do it twice.",Personal Development,Conditional Wisdom,Medium,Financial Wisdom,General Wisdom
248,donate-new,AdviceDB%20208a0765760b80ff8a55ed3dd1a76fcc/donate-new.png,Donate something you don't use every time you buy something new.,Personal Development,Mindset Shift,Medium,"Theme: room, use",General Wisdom
280,dont-know-honesty,AdviceDB%20208a0765760b80ff8a55ed3dd1a76fcc/dont-know-honesty.png,"Learn to say ""I don't know"" when you don't. It's a sign of honesty, not weakness.",Learning & Growth,Avoid/Stop,Requires Effort,Learning & Skills,Learning & Growth
111,dress-to-honor,AdviceDB%20208a0765760b80ff8a55ed3dd1a76fcc/dress-to-honor.png,"When in doubt, overdress– not to impress others, but to honor the occasion.",Personal Development,Avoid/Stop,Medium,Learning & Skills,Things to Avoid
155,early-help,AdviceDB%20208a0765760b80ff8a55ed3dd1a76fcc/early-help.png,"If you show up early, offer to help.",Personal Development,Conditional Wisdom,Easy,"Theme: know, need",General Wisdom
1,easier-early,AdviceDB%20208a0765760b80ff8a55ed3dd1a76fcc/easier-early.png,It is so much easier to just be early than to try to be on time.,Personal Development,Mindset Shift,Easy,"Theme: know, need",General Wisdom
165,easier-prevent-fix,AdviceDB%20208a0765760b80ff8a55ed3dd1a76fcc/easier-prevent-fix.png,Most problems are easier to prevent than to fix.,Social Situations,Mindset Shift,Easy,Learning & Skills,👥 Social Situations
204,effort-friendships,AdviceDB%20208a0765760b80ff8a55ed3dd1a76fcc/effort-friendships.png,"The older you get, the more effort it takes to maintain friendshipsÑbe the one who reaches out.",Relationships & Family,Mindset Shift,Medium,Mindset & Emotions,Relationships & Family
95,elderly-listen,AdviceDB%20208a0765760b80ff8a55ed3dd1a76fcc/elderly-listen.png,"When an elderly person tells a story, listen–even if it's one you've heard before.",Personal Development,Conditional Wisdom,Medium,"Theme: know, need",General Wisdom
20,embrace-failure,AdviceDB%20208a0765760b80ff8a55ed3dd1a76fcc/embrace-failure.png,Embrace failure as essential steps on the path to learning and growing.,Learning & Growth,Mindset Shift,Requires Effort,Learning & Skills,Learning & Growth
172,emergency-fund,AdviceDB%20208a0765760b80ff8a55ed3dd1a76fcc/emergency-fund.png,An emergency fund can change a major crisis into a minor inconvenience.,Money & Finance,Mindset Shift,Medium,"Theme: know, need",Money & Finance
183,encourage-creativity,AdviceDB%20208a0765760b80ff8a55ed3dd1a76fcc/encourage-creativity.png,Creativity should always be encouraged. Judgement comes later.,Health & Wellness,Mindset Shift,Easy,Financial Wisdom,Health & Wellness
33,entitled,AdviceDB%20208a0765760b80ff8a55ed3dd1a76fcc/entitled.png,Feeling entitled is a quick way to finding,Personal Development,Mindset Shift,Easy,Financial Wisdom,General Wisdom
41,eta-add-hour,AdviceDB%20208a0765760b80ff8a55ed3dd1a76fcc/eta-add-hour.png,Add an hour to your ETA–two if traveling with kids or pets.,Relationships & Family,Mindset Shift,Medium,Mindset & Emotions,Relationships & Family
45,experiences-not-things,AdviceDB%20208a0765760b80ff8a55ed3dd1a76fcc/experiences-not-things.png,"Invest in experiences, not just things. Memories outlast most possessions.",Money & Finance,Avoid/Stop,Easy,Financial Wisdom,Money & Finance
69,extra-charger,AdviceDB%20208a0765760b80ff8a55ed3dd1a76fcc/extra_-charger.png,Be a hero. Keep an extra charger in your bag.,Personal Development,Mindset/Attitude,Easy,Financial Wisdom,Mindset & Attitude
188,fail-quickly,AdviceDB%20208a0765760b80ff8a55ed3dd1a76fcc/fail-quickly.png,The best outcome is to succeed. The next best is to fail quickly.,Personal Development,Mindset Shift,Easy,Financial Wisdom,General Wisdom
65,family-photo,AdviceDB%20208a0765760b80ff8a55ed3dd1a76fcc/family-photo.png,"When you see someone taking a family photo, offer to take it so they can be in the picture.",Relationships & Family,Conditional Wisdom,Medium,"Theme: room, use",Relationships & Family
191,family-sick-world-smaller,AdviceDB%20208a0765760b80ff8a55ed3dd1a76fcc/family-sick-world-smaller.png,"When a family member gets sick, your world gets a whole lot smaller.",Relationships & Family,Conditional Wisdom,Medium,"Theme: room, use",Relationships & Family
137,favor-micromanage,AdviceDB%20208a0765760b80ff8a55ed3dd1a76fcc/favormicromanage.png,"If someone is doing you a favor, don't micromanage how they do it.",Personal Development,Conditional Wisdom,Medium,Learning & Skills,General Wisdom
230,feel-like-it,AdviceDB%20208a0765760b80ff8a55ed3dd1a76fcc/feel-like-it.png,Stop waiting to ‘feel like it.’ Action creates motivation.,Health & Wellness,Mindset Shift,Medium,"Theme: know, need",Health & Wellness
291,financial-docs,AdviceDB%20208a0765760b80ff8a55ed3dd1a76fcc/financial-docs.png,"Understand how to read a balance sheet, and income and cash flow statements.",Learning & Growth,Mindset Shift,Medium,"Theme: room, use",Learning & Growth
225,first-reaction,AdviceDB%20208a0765760b80ff8a55ed3dd1a76fcc/first-reaction.png,Your first reaction to something stressful is often your worst one.,Personal Development,Mindset Shift,Medium,Financial Wisdom,General Wisdom
73,fitted-sheet,AdviceDB%20208a0765760b80ff8a55ed3dd1a76fcc/fitted-sheet.png,Know how to properly fold a fitted sheet.,Personal Development,Mindset Shift,Easy,"Theme: know, need",General Wisdom
214,flashlight-power-out,AdviceDB%20208a0765760b80ff8a55ed3dd1a76fcc/flashlight-power-out.png,Keep a flashlight next to your bed–power outages don't wait for you to find your phone.,Home & Organization,Maintain/Remember,Medium,Financial Wisdom,Home & Organization
92,flossing,AdviceDB%20208a0765760b80ff8a55ed3dd1a76fcc/flossing.png,Your future self will not be mad at you for flossing.,Personal Development,Avoid/Stop,Medium,Learning & Skills,Things to Avoid
134,food-app-tip,AdviceDB%20208a0765760b80ff8a55ed3dd1a76fcc/food-app-tip.png,Don't let the food delivery app decide your tip.,Health & Wellness,Avoid/Stop,Easy,Financial Wisdom,Health & Wellness
193,forgive-generously,AdviceDB%20208a0765760b80ff8a55ed3dd1a76fcc/forgive-generously.png,Forgive generously.,Personal Development,Mindset Shift,Easy,Learning & Skills,General Wisdom
127,free-customer-product,AdviceDB%20208a0765760b80ff8a55ed3dd1a76fcc/free-customer-product.png,"If an app is free, you're not the customer–you're the product.",Personal Development,Avoid/Stop,Medium,Learning & Skills,Things to Avoid
101,fresh-coat-of-paint,AdviceDB%20208a0765760b80ff8a55ed3dd1a76fcc/fresh-coat-of-paint.png,A fresh coat of paint can fix almost anything.,Personal Development,Mindset Shift,Easy,Financial Wisdom,General Wisdom
61,fresh-garlic,AdviceDB%20208a0765760b80ff8a55ed3dd1a76fcc/fresh-garlic.png,"When a recipe calls for fresh garlic, don't substitute garlic powder.",Personal Development,Conditional Wisdom,Medium,Learning & Skills,General Wisdom
152,friend-song-listen,AdviceDB%20208a0765760b80ff8a55ed3dd1a76fcc/friend-song-listen.png,"If a friend plays a song for you, listen like it matters. Because it does.",Relationships & Family,Conditional Wisdom,Medium,"Theme: know, need",Relationships & Family
161,friends-therapist,AdviceDB%20208a0765760b80ff8a55ed3dd1a76fcc/friends-therapist.png,Don't treat your empathetic friends like they're your therapist.,Relationships & Family,Avoid/Stop,Medium,"Theme: know, need",Relationships & Family
75,full-tank,AdviceDB%20208a0765760b80ff8a55ed3dd1a76fcc/full-tank.png,"If you borrow a car, return it with a full tank of gas.",Personal Development,Conditional Wisdom,Medium,Learning & Skills,General Wisdom
267,fundrasier-car-wash,AdviceDB%20208a0765760b80ff8a55ed3dd1a76fcc/fundrasier-car-wash.png,Write thank-you notes before they feel overdue.,Personal Development,Mindset Shift,Easy,"Theme: room, use",General Wisdom
46,garage-sales,AdviceDB%20208a0765760b80ff8a55ed3dd1a76fcc/garage-sales.png,"Learn how to negotiate, practice at garage sales.",Learning & Growth,Learn/Develop,Easy,Learning & Skills,Learning & Growth
298,garbage-out,AdviceDB%20208a0765760b80ff8a55ed3dd1a76fcc/garbage-out.png,The garbage tells you when it needs to be taken out,Personal Development,Mindset Shift,Medium,"Theme: know, need",General Wisdom
243,ghost-professional,AdviceDB%20208a0765760b80ff8a55ed3dd1a76fcc/ghost-professional.png,Don't ghost people in professional settings.,Work & Career,Avoid/Stop,Easy,Learning & Skills,Work & Career
108,give-attention,AdviceDB%20208a0765760b80ff8a55ed3dd1a76fcc/give-attention.png,The best gift you can give someone is your full attention.,Personal Development,Mindset Shift,Medium,Financial Wisdom,General Wisdom
211,go-out-ride-home,AdviceDB%20208a0765760b80ff8a55ed3dd1a76fcc/go-out-ride-home.png,Don't go out without a plan of how you will get home.,Home & Organization,Avoid/Stop,Medium,Mindset & Emotions,Home & Organization
12,good-credit-score,AdviceDB%20208a0765760b80ff8a55ed3dd1a76fcc/good-credit-score.png,Learn what it takes to maintain a good credit score.,Money & Finance,Learn/Develop,Requires Effort,Mindset & Emotions,Money & Finance
39,gratitude-daily,AdviceDB%20208a0765760b80ff8a55ed3dd1a76fcc/gratitude-daily.png,"Practice gratitude, daily.",Learning & Growth,Learn/Develop,Easy,Learning & Skills,Learning & Growth
96,group-chat-midnight,AdviceDB%20208a0765760b80ff8a55ed3dd1a76fcc/group-chat-midnight.png,Nothing good happens in a group chat after midnight.,Personal Development,Mindset Shift,Medium,"Theme: know, need",General Wisdom
205,guilty-no-yes,AdviceDB%20208a0765760b80ff8a55ed3dd1a76fcc/guilty-no-yes.png,Just because you'd feel guilty saying ‘no' doesn't mean you should say ‘yes'.,Personal Development,Mindset Shift,Easy,Learning & Skills,General Wisdom
104,handshake,AdviceDB%20208a0765760b80ff8a55ed3dd1a76fcc/handshake.png,"A firm handshake, good posture, and eye contact deliver a strong first impression.",Personal Development,Mindset Shift,Medium,Financial Wisdom,General Wisdom
24,handwritten-note,AdviceDB%20208a0765760b80ff8a55ed3dd1a76fcc/handwritten-note.png,A handwritten note can mean much more than a text or email.,Personal Development,Mindset Shift,Medium,"Theme: room, use",General Wisdom
217,hangers-turn,AdviceDB%20208a0765760b80ff8a55ed3dd1a76fcc/hangers-turn.png,"While you're decluttering, turn all the hangers around, after 3 months, donate anything still facing the other way.",Personal Development,Mindset Shift,Requires Effort,Learning & Skills,General Wisdom
168,hero-courage,AdviceDB%20208a0765760b80ff8a55ed3dd1a76fcc/hero-courage.png,"You don't need a cape to be a hero, just the courage to do what's right when nobody's watching.",Personal Development,Mindset Shift,Easy,Learning & Skills,General Wisdom
272,hold-door,AdviceDB%20208a0765760b80ff8a55ed3dd1a76fcc/hold-door.png,Hold the door an extra second for the person behind you–small gestures stick.,Personal Development,Mindset Shift,Medium,Financial Wisdom,General Wisdom
275,hold-scissors,AdviceDB%20208a0765760b80ff8a55ed3dd1a76fcc/hold-scissors.png,"When handing scissors to someone, hold them by the sharp end.",Personal Development,Conditional Wisdom,Medium,Learning & Skills,General Wisdom
112,home-safe,AdviceDB%20208a0765760b80ff8a55ed3dd1a76fcc/home-safe.png,"Send a quick “home safe” text. It takes seconds, it means everything.",Home & Organization,Mindset Shift,Easy,Mindset & Emotions,Home & Organization
192,honest-capacity,AdviceDB%20208a0765760b80ff8a55ed3dd1a76fcc/honest-capacity.png,Be honest with yourself about your actual capacity.,Personal Development,Mindset/Attitude,Medium,Learning & Skills,Mindset & Attitude
146,house-key,AdviceDB%20208a0765760b80ff8a55ed3dd1a76fcc/house-key.png,Always keep an extra house key somewhere safe.,Home & Organization,Maintain/Remember,Easy,Financial Wisdom,Home & Organization
271,hug-kids,AdviceDB%20208a0765760b80ff8a55ed3dd1a76fcc/hug-kids.png,Hug kids after discipline–so they remember the love.,Relationships & Family,Mindset Shift,Medium,Mindset & Emotions,Relationships & Family
277,ignore-mail,AdviceDB%20208a0765760b80ff8a55ed3dd1a76fcc/ignore-mail.png,"If you ignore your mail long enough, it becomes a to-do list... with interest.",Personal Development,Conditional Wisdom,Medium,Learning & Skills,General Wisdom
36,imagine-think,AdviceDB%20208a0765760b80ff8a55ed3dd1a76fcc/imagine-think.png,Just because you imagine what others think of you doesn't make those thoughts trueÑor important.,Personal Development,Mindset Shift,Easy,Mindset & Emotions,General Wisdom
227,improve-day,AdviceDB%20208a0765760b80ff8a55ed3dd1a76fcc/improve-day.png,The fastest way to improve your day is to make someone else's day better.,Personal Development,Mindset Shift,Medium,Mindset & Emotions,General Wisdom
282,inner-voice,AdviceDB%20208a0765760b80ff8a55ed3dd1a76fcc/inner-voice.png,Be mindful of how you speak to yourself–your inner voice matters.,Personal Development,Mindset/Attitude,Medium,Mindset & Emotions,Mindset & Attitude
252,introduce-interesting,AdviceDB%20208a0765760b80ff8a55ed3dd1a76fcc/introduce-interesting.png,Learn how to introduce yourself in an interesting way.,Learning & Growth,Learn/Develop,Requires Effort,Learning & Skills,Learning & Growth
100,invest-luggage,AdviceDB%20208a0765760b80ff8a55ed3dd1a76fcc/invest-luggage.png,Invest in good luggage. Cheap suitcases will betray you.,Money & Finance,Acquire/Invest,Medium,Financial Wisdom,Money & Finance
